Crash ID,Month,Dayweek,Time,State
19921045,December,Saturday,09:25:00,NSW
19954151,January,Monday,01:20:00,SA
19941138,May,Tuesday,13:00:00,NSW
20043022,December,Friday,19:00:00,QLD
19973153,August,Friday,17:00:00,QLD
20134057,May,Monday,15:20:00,SA
19954068,October,Monday,21:06:00,SA
19983085,February,Saturday,05:00:00,QLD
19973228,November,Sunday,07:00:00,QLD
19901249,September,Sunday,00:30:00,NSW
20114088,April,Wednesday,09:34:00,SA
19963045,June,Sunday,16:00:00,QLD
20013015,December,Monday,16:00:00,QLD
20115101,March,Wednesday,23:30:00,WA
20002299,April,Thursday,18:43:00,VIC
20033273,November,Wednesday,02:00:00,QLD
19963181,December,Friday,05:00:00,QLD
20093195,April,Wednesday,05:00:00,QLD
19982325,February,Sunday,00:01:00,VIC
20054036,March,Thursday,19:45:00,SA
19894164,December,Tuesday,12:50:00,SA
20113221,August,Sunday,01:00:00,QLD
19974119,July,Sunday,21:30:00,SA
19961047,June,Friday,12:35:00,NSW
19896008,September,Friday,16:45:00,TAS
20112227,August,Thursday,21:47:00,VIC
19973104,July,Sunday,09:00:00,QLD
20021222,August,Tuesday,10:10:00,NSW
20051448,June,Thursday,15:15:00,NSW
19905163,July,Sunday,18:20:00,WA
20065016,June,Monday,17:40:00,WA
20091092,November,Monday,05:00:00,NSW
20146007,February,Friday,17:12:00,TAS
19923056,June,Friday,16:00:00,QLD
19892033,October,Thursday,08:20:00,VIC
20073087,May,Wednesday,13:00:00,QLD
20132105,September,Saturday,15:10:00,VIC
19913260,May,Monday,14:00:00,QLD
19902390,June,Thursday,16:50:00,VIC
20177004,July,Saturday,23:00:00,NT
19961522,April,Saturday,05:30:00,NSW
20084059,August,Friday,20:50:00,SA
19971523,September,Sunday,16:05:00,NSW
20072160,July,Sunday,19:30:00,VIC
20131251,March,Wednesday,17:20:00,NSW
20083105,March,Friday,14:00:00,QLD
20043074,January,Saturday,20:00:00,QLD
20124040,February,Thursday,09:05:00,SA
19895186,May,Wednesday,10:00:00,WA
20076001,April,Sunday,22:00:00,TAS
20094049,November,Friday,20:30:00,SA
19984105,October,Saturday,00:05:00,SA
19993145,December,Monday,23:00:00,QLD
20072217,April,Friday,06:05:00,VIC
20072101,December,Tuesday,18:15:00,VIC
20162142,November,Saturday,00:05:00,VIC
20073290,June,Monday,04:00:00,QLD
19951351,February,Saturday,23:10:00,NSW
20012067,June,Saturday,13:30:00,VIC
19892169,January,Friday,13:20:00,VIC
19935185,June,Friday,20:50:00,WA
19972125,June,Friday,16:10:00,VIC
20071191,April,Monday,14:37:00,NSW
20122164,November,Friday,20:05:00,VIC
19895061,July,Thursday,22:20:00,WA
19901136,January,Thursday,14:05:00,NSW
19917027,June,Friday,20:30:00,NT
20183099,April,Sunday,17:00:00,QLD
20023218,September,Friday,19:00:00,QLD
20151091,August,Wednesday,06:55:00,NSW
20023021,October,Thursday,22:00:00,QLD
20123085,April,Friday,05:00:00,QLD
20014026,April,Wednesday,18:15:00,SA
19993235,August,Sunday,17:00:00,QLD
19951261,January,Sunday,06:25:00,NSW
19973195,March,Friday,18:00:00,QLD
19962110,September,Saturday,07:00:00,VIC
19902183,April,Sunday,09:40:00,VIC
20103038,July,Monday,01:00:00,QLD
20152029,October,Thursday,15:36:00,VIC
19902437,April,Friday,08:00:00,VIC
20186012,January,Saturday,19:39:00,TAS
19891253,July,Monday,13:30:00,NSW
20031303,February,Saturday,16:15:00,NSW
20011326,October,Sunday,07:35:00,NSW
20007044,December,Friday,19:00:00,NT
19896031,September,Thursday,21:30:00,TAS
20044098,August,Friday,15:35:00,SA
20151041,June,Thursday,12:00:00,NSW
19892672,December,Wednesday,13:00:00,VIC
20111025,March,Friday,12:24:00,NSW
20102110,December,Tuesday,05:50:00,VIC
20104105,February,Saturday,05:20:00,SA
